id,prompt,deepseek/deepseek-v3.2,openai/gpt-4o-mini,qwen/qwen3-coder-30b-a3b-instruct
13,"Write a program that generates a randomized TCP packet capture log. The program should randomly select a protocol (e.g. TCP, UDP, ICMP) and two ports (one for the source, one for the destination) from a list of common ports. The program should also randomly select an action (e.g. accept, deny, drop, reject) and two IP addresses (one for the source, one for the destination) from a range of possible values. The program should then output the details of the packet (protocol, source and destination IP addresses, source and destination ports, action) to a file. The program should run indefinitely, generating new packets at random intervals.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
330
330
330
330
330
330
330
","330
330
330
330
330
330
330
330
330
","330
330
330
330
330
330
330
330
330
330
330
330
330
330
330
"
14,"Write a Python function that sets up and controls a live instance of a mock server for testing, listening on a specified port, and allowing for the possibility of manual testing alongside the automated tests.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
15,"Write a Python function that takes three arguments: columns, runs, and size. The function should generate a dataset by iterating over each column, and for each column, it should generate runs random samples of size/runs from a given range, and then combine the samples into a single dataset. The function should use standard library functions and data structures.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
","330
","330
"
16,"Write a Python function that takes a dictionary of IP addresses and their corresponding ports, and a list of countries to block. The function should iterate through the IP addresses and ports, and for each combination, check if the country code 'cn' is in the list of blocking countries. If it is, the function should add the IP address and port to a new dictionary of blocked IP addresses and ports. The function should return the new dictionary.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
17,"Write a Python function that generates a random string of a given length using a given set of characters, and also defines a TypeMeta class with a custom `__new__` method that allows for the creation of objects with a random positional argument.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
","330
","330
"
18,"Write a Python function that generates a random graph with specified number of nodes and edge density, and assigns a random node type to each node. The function should also assign a random weight to each edge. The graph should be visualized using a library such as HivePlot. Save the plot to a PDF file.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
330
330
330
","330
330
","330
330
"
19,"Write a Python function that takes a URL as input, archives it using the WayBack Machine, and returns a list of archived URLs in text format.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","400
400
","400
","400
"
20,"Write a Python program that iterates over a list of URLs, checks each URL for a valid feed, and prints the URL and feed data if found valid. Use the `feedparser` library to parse the feed data. If a URL fails to parse, wait for a random amount of time between 1-10 seconds before retrying. If a URL fails to parse multiple times, print an error message and continue to the next URL.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
","330
","330
"
21,"Write a Python function that takes a distribution name and returns the shape parameter that maximizes the probability plot correlation coefficient for a given data, using a one-parameter family of distributions. The function should use the `inspect` module to check if the distribution has default location and scale parameters that are 0.0 and 1.0 respectively. The function should also use the `eval` function to evaluate the distribution's `ppf` function.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
","
","703
"
22,"Write a Python function that creates a new plan object with a set of features, modifies the features' values, and asserts that the modified plan has the same identifier as the original plan.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","703
","703
","703
"
23,"Write a Python function that takes a file URL and a maximum part size as input, and downloads the file in parts, computing the number of parts needed and the size of each part, while also handling cases where the part size is too small or the number of parts exceeds a maximum limit.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","400
400
","400
"
24,"Write a function in Python/NumPy that takes in a 4D numpy array 'x' with shape (n, c, h, w) and a block size 'block', and applies the space-to-depth transformation, returning a 4D numpy array 'y' with shape (n, c * (block**2), h // block, w // block). The transformation should reshape 'x' into a 6D array with dimensions (b, c, h // blocksize, blocksize, w // blocksize, blocksize), then transpose it to have dimensions (0, 3, 5, 1, 2, 4), and finally reshape it to have dimensions (n, c * (block**2), h // block, w // block).

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
25,"Write a Python function that loads a set of stop words from a text file, then parses a HTML document and returns a set of unique words, excluding stop words and non-dictionary words, while also creating a map of words to their frequencies.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
26,"Write a Python function that establishes a connection to a server, sends a login request with a username and password, receives and parses a response message, and returns a dictionary containing the server's response data.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","703
","
","
"
27,"Write a Python function that generates a list of mock peer addresses for a Consul cluster, given an instance IP address as input. The function should return a list of string addresses in the format '10.0.2.XXX:8300', where XXX is a random integer between 10 and 254, inclusive.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
","330
","330
"
28,"Write a Python function that takes a sequence of commands as input, where each command is a list of strings. For each command, evaluate the command by calling a method on an object named 'minimizer' using the command's name and arguments. If an exception occurs during evaluation, catch it, set the function's return values to the current values of 'parameters', 'chi2', 'ndf', and 'normalizedChi2' of the minimizer object, and re-raise the exception.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
29,"Write a Python program that uses the os and date commands to retrieve the current year, month, and day, as well as the previous year, month, and day, given a number of days passed. The program should also read the last entry from a file named 'last_entry' in a directory named 'data'.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
30,"Write a Python function that uses the mock library to patch a method and modify its behavior. The function should take a storage policy index as input, and return the policy index of the oldest storage policy that is not default. The function should use a fake ring to retrieve container policy indexes and should shuffle the response headers to simulate a random order.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
31,"Write me a SQLite query function in Python that fetches a single record from a database table based on a given condition, using the sqlite3 library.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","89
","89
","89
"
32,"Write a Python function that generates a unique identifier, using a random combination of letters and digits, and returns it as a string. The function should also have a parameter for the length of the identifier. Use the `random` and `string` modules.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
","330
","330
"
33,"Write a Python function that takes in a list of lists, a batch size, and a number of cycles as inputs. The function should iterate over the list of lists, batching them together in groups of the specified batch size. If any of the batches have different lengths, raise a ValueError. If the number of cycles is reached, raise a StopIteration. Otherwise, yield a tuple of elements from each batch in the group. Use the itertools library to enumerate and shuffle the indices of the batches.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
34,"Write a Python function that creates a new database and user in a PostgreSQL database using the psycopg2 library, given a database name and optional username of the owner.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","259
259
","259
","259
"
35,"Write a Python function that sets dynamic loading flags for a list of modules, imports the modules, and then restores the original dynamic loading flags.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
36,"Write a Python function that retrieves a JWT token for accessing a REST API. The function should check if a token is stored in a pickle file, and if so, load it and return it. If not, it should return None, None.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","502
502
","502
502
","502
502
"
37,"Write a Python function that takes a string of code as input, compiles it, and checks if it is valid by executing it in a controlled environment and comparing the output to a reference implementation.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
","78
","78
78
78
703
"
38,"Write a Python function that takes a command and arguments as input, executes the command using subprocess, and returns the output. The function should handle errors and return an error message if the command fails. The function should also have a static method that generates a random string of a given length, and another static method that checks if a given string is an integer.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
330
","78
330
78
","78
78
330
"
39,"Write a Python class that represents a quantity with an amount, unit, and error bounds. The class should have a method to create a new instance from JSON data, and a method to convert the quantity to JSON. The class should also implement the `__str__` and `__eq__` methods.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
40,"Write a Python function that creates and manipulates objects of a class, using random values for some attributes, and asserts equality of certain attributes of two objects.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
330
330
330
330
330
330
330
703
","330
330
330
703
","330
330
330
703
703
703
"
41,"Write a Python function that calls a PostgreSQL function using a cursor and returns the result. The function should accept a single string argument, which is the name of the PostgreSQL function to call. The function should return the result of the PostgreSQL function as a single value.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","259
","
","259
"
42,"Write a Python function that takes a job ID as input and returns the exit code of the job. The function should use the `subprocess` module to execute a command that retrieves the job's exit code. The command should include the job ID as a parameter. The function should log information about the job's state and return the exit code. (Hint: You may need to parse the output of the command to extract the exit code.)

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
","78
78
","78
78
78
78
78
"
43,"Write a Python function that analyzes a message for emotions and checks if it contains any bad words. If it does, it should update a database of users who have used bad words in a specific channel. The function should take in a dictionary of information about the message and return True if the message contains a bad word, False otherwise.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
44,"Write a SQL function that creates a table, inserts data into it, and then drops the table using a cursor and standard SQL syntax.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
45,"Write a Python function that takes in a numpy array 'data' and a string 'method' as input. The function should return the sum of the values in the array that pass a certain condition. The condition is defined by a lambda function 'exclude' which takes in four arguments 'x', 'y', 'ey', and 'eyl'. If the lambda function returns True, then the value at that index in the array should be included in the sum. Otherwise, it should be excluded. The function should use the 'itertools' module to iterate over the array and the 'curve' function to generate a new array with the same shape as 'data' but with the values at the 'x', 'y', 'ey', and 'eyl' indices replaced by the values in the 'values' array. The function should also use the 'eval' function to execute the lambda function.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
","78
","78
"
46,"Write a Python function that takes a list of objects, where each object contains parameters for a musical note (position x, position y, time, note type, and optional parameters for curve and repeat), and creates a list of musical notes with the correct timing and positions, using standard library functions.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
47,"Write a Python function that generates a random string, numbers or mail based on the input parameters. The function should accept three parameters: prefix, maxlen, and domen (for mail). The function should return a randomly generated string, numbers or mail based on the input parameters. Use only standard library functions and symbols. No external libraries or modules should be used.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
330
330
330
330
","330
330
","330
330
330
330
330
330
"
48,"Write a Python program that generates a README file for a software package using the distutils and inspector modules. The program should read a template file, replace a placeholder with a list of modules, and write the resulting file to disk.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
49,"Write a Python function that reads a file, sorts its lines, and extracts a sequence number from the last line, handling exceptions gracefully.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
50,"Write a Python function that generates a random list of ports, sorts them in descending order, and returns a string of comma-separated ports.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","330
","330
","330
"
51,"Write a Python program that uses the `urllib2` and `json` modules to retrieve information from a GitHub organization. The program should accept the organization's name, username, and password as input, and use the `GitFetcher` class from the `link` module to retrieve the organization's information. The program should then print the organization's information to the console.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
52,"Write a Python program that reads two files, computes their differences, and performs operations based on the results. The first file contains a list of columns, and the second file contains a list of rows. The program should print the differences between the two files, remove files that match certain criteria, create a new directory, and iterate over the remaining files to perform additional operations.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
53,"Write a Python function that takes a string query template, a dictionary scope, and a dictionary parameters. The function should execute the query by executing a string that contains the query and parameters, and return the result of the execution.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
","78
","78
"
54,"Write a Python program that captures screenshots of an Android device's screen at regular intervals using the `adb` command line tool. The program should also read and parse log data from the device's logcat output, and save the parsed data to a file. The program should continue running until it loses connection to the device.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
78
78
78
78
78
78
78
78
78
78
78
","78
78
78
78
78
","78
78
78
78
78
"
55,"Write a Python function that modifies the value of a class instance variable by executing a string as code in the context of the instance's globals and locals, then prints the updated values of the globals and locals.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
","78
","78
"
56,"Write a Python function that compiles a machine learning model using a given optimizer, loss function, and metrics. The function should accept configuration parameters, load data from files, and preprocess the data if necessary. The function should return the compiled model.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
57,"Write a Python program that sets up a kickstart configuration file and associated scripts for a CentOS 7 installation, using standard library functions and the `subprocess` module. The program should copy the necessary files, modify the configuration file and scripts to include the hostname and basedir of the kickstart server, and set the timezone. The program should also handle errors and raise an exception if necessary.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
78
377
","78
78
78
","78
732
732
78
78
"
58,"Write a Python function that sends a message to a conversation AI workspace, passing in a text input and receiving a response. The function should handle cases where the response is an exception, and continue to call the function with the same input and context until a valid response is received.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","400
","330
"
59,"Write a Scheme function that evaluates an expression in an environment, using a variable reference or constant literal if possible, otherwise using an eval function that takes an expression and environment as arguments and returns the result of evaluating the expression in the environment.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
60,"Write a SQLite database manipulation function in Python that deletes records from a table based on a given condition, and then fetches all records from the same table and returns them in a list, using the sqlite3 library.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","89
89
","89
89
","89
89
"
61,"Write a Python function that takes a GFF3 file as input and converts it to a GTF file using a specified dialect, with the ability to extract the file contents if it's gzipped.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
62,"Write a Python program that loads and processes a dataset of images. The program should read a JSON file containing annotations for the images, and a pickled vocabulary of image features. The program should then load each image and extract features from it using the vocabulary. The program should return a list of image features for each image in the dataset.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","502
502
","502
502
","502
502
"
63,"Write a Python function that generates a password recovery token for a user. The function should take in a dictionary of user data, including the user's email address. It should generate a salted hash of the email address, store the hash in the user's reset password code field, and return True if the operation was successful.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
64,"Write a Python function that takes two arguments, a GTF file and a fasta file, and appends the contents of a pre-defined fasta file to the end of the fasta file, and the contents of a pre-defined GTF file to the end of the GTF file, using standard library functions and command line tools.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
78
78
78
","
","78
"
65,"Write a Python function that tests the repr and __missing__ methods of a defaultdict object, using various inputs and assertions to verify their behavior.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","703
703
703
703
703
703
703
703
703
703
","703
703
703
703
703
703
703
703
703
703
703
703
703
"
66,"Write a Python class that represents a quantity with an amount, unit, and error bounds. The class should have a constructor that takes a JSON object with 'amount', 'unit', and 'upperBound' keys, and a 'fromWikibase' class method that creates a new instance from a Wikibase JSON object. The class should also have a `__str__` method that returns the object's JSON representation, and a `__eq__` method that compares two instances for equality.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
67,"Write a Python function that loads a YAML configuration file from a specified path or defaults to a provided example file, reads the file contents, and returns a dictionary representation of the YAML data.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
68,"Write a Python function that updates a database using a websocket connection. The function should accept a dictionary of data and update the corresponding table in the database using SQL queries. The function should also increment a solved counter for the problem, update the solved user and last date for the problem, and commit the changes to the database.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","89
","
","
"
69,"Write a Python function that takes a list of test cases as input, where each test case is a tuple containing the name of a test function and a string describing the expected output. The function should execute each test case, compare the output of the test function to the expected output, and keep track of the number of tests that pass and fail. If any test fails, the function should print an error message indicating which test failed and why. Otherwise, the function should print a message indicating the number of tests that passed. The function should use the `eval()` function to execute the test functions.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
","78
","78
"
70,"Write a Python function that reads a settings file and returns a dictionary containing its key-value pairs. If a key is not found in the file, it should return a default value. The function should handle cases where the file does not exist or cannot be read.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","703
","
","
"
71,"Write a Python function that takes a directory path as input and generates a report of reticulations, taxa, increase, decrease, and outgroup. The function should read a statistic file containing lines with the following format: 'Reticulations: X
Taxa: Y
Increase: Z
Decrease: W
Outgroup: V'. The function should also resize increase and decrease values based on a coefficient, and concatenate all alignment files in the input directory. The output should be a single text file containing the report.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
72,"Write a function in a given programming language (e.g. Python, Java, C++) that takes a string as input and returns its cryptographic hash using a specified algorithm (e.g. MD5, SHA-256). The function should accept an optional parameter for the hash algorithm to use. The function should return the hash value as a string of hexadecimal digits. Additionally, the function should have a method to clone the hash object, allowing for efficient computation of digests for strings that share a common initial substring.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","327
","
"
73,"Write a function that retrieves data from an Etcd cluster using the given IP address and path. The function should use the `curl` command to send a GET request to the Etcd cluster and return the response as JSON. The function should also handle the case where the Etcd cluster is running with SSL/TLS by using the `check_output` function to execute the `curl` command with the appropriate certificates and key. The function should return the JSON response from the Etcd cluster.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
","78
78
","78
78
"
74,"Write a function in a given language (e.g. Python, C, Java) that takes a process ID as input and terminates the process gracefully by sending a signal (e.g. SIGTERM) or using a command-line tool (e.g. taskkill) if the process is running on a Windows operating system. The function should also handle the case where the process is not running by returning a specific value (e.g. -1). The function should have a timeout mechanism that increases the sleep time between attempts to terminate the process, with an initial sleep time, a maximum sleep time, and a factor to increase the sleep time by. The function should also have a check to see if the process has already failed before attempting to terminate it.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
78
78
78
","78
","78
78
78
78
78
78
78
78
78
78
78
"
75,"Write a Python function that registers two views for a web application using a third-party library. The first view should accept a UID and token from a URL and render a template with a login URL. The second view should complete a password reset process and render a template with a login URL. The function should use a superclass to inherit common functionality.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
76,"Write a Python function that performs OAuth2 authentication with a given API key and secret, and redirects the user to a default callback URL.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","400
312
359
532","259
259
400
94
215
489","
"
77,"Write a Python program that reads a file's contents, checks if the contents match a stored version, and updates the version if necessary.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","327
","
","
"
78,"Write a Python function that takes a distribution name and a list of values as input, and returns the percentile function (ppf) for the given distribution using the provided values. The function should handle cases where the distribution does not have a ppf function defined, and should use the `stats` module to calculate the percentile function when possible. The function should also accept optional parameters to customize the calculation.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
79,"Write a Python class that wraps a command line tool for managing secrets. The class should have a constructor that takes in a content object, and a property called 'secrets' that returns a dictionary of secret data. The class should also have a method to set the secrets data, and a method to retrieve the secrets data. Use the 'Yedit' class from the provided code as a superclass.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
80,"Write a Python function that takes a list of image filenames and a directory path as input, and uses the 'subprocess' module to resize each image to a specified dimension, then saves the resized images to a new directory, and returns a list of the resized image filenames.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
78
","78
78
78
","78
78
"
81,"Write a Python program that takes a PDF file as input, extracts the text from the PDF using a subprocess call, tokenizes the text, creates a bag-of-words representation, and writes the bag-of-words to a file in a format that can be read by a machine learning model.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
78
","78
78
","78
78
78
"
82,"Write a Python function that creates a filter for recording and playback of data based on data types, using the shelve module for storage.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","502
502
502
502
502
502
502
","502
502
502
502
","502
502
502
502
"
83,"Write a MySQL query in Python that retrieves specific columns from two tables, 'playerinfo' and 'playerstats', where the 'username' column in 'playerinfo' matches a given input string, and returns the results in a list of tuples.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","259
","259
","259
"
84,"Write a Python function that generates SSH keys for a virtual machine by regenerating the SSH1, SSH2 RSA, and SSH2 DSA keys using the `ssh-keygen` command, and configures the SSH server to use these keys. The function should handle errors gracefully and log any errors that occur. The function should take two arguments: the path to the virtual machine's root filesystem, and the name of the logger to use for debugging and error messages.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
","78
78
78
78
78
78
78
","78
78
"
85,"Write a Python function that deprecates a specified attribute name in favor of a new name, with a warning message and version number. The function should use the `property` decorator to create a property with a getter and setter that call other functions to handle the deprecation.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
86,"Write a Python program that loads and manipulates data from multiple pickle files, performing various operations on the data. The program should read data from three pickle files, perform a linear interpolation on the data from one file, and then write the resulting data to a new pickle file. The program should also perform a search and replace operation on the data from another file, and then write the modified data to a new pickle file. The program should use the standard library functions for reading and writing pickle files, and should not use any external libraries or modules. The program should be written in a general way that could be applied to any set of pickle files, without reference to any specific variables or libraries.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","502
502
","502
502
","502
502
502
502
"
87,"Write a Python function that takes a dictionary of local variables and a string representing a Python script, executes the script in the context of the local variables, and returns the result of the execution. The function should also allow for the execution of a secondary script if a command line argument is provided. The function should print the result of the execution to the console.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
","78
","78
78
"
88,"Write a Python function that takes a filename as input, reads a mesh data from a shelf file, and writes the mesh data to a MATLAB format file using a library such as `ppmatlab`.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","502
502
","502
502
","502
502
"
89,"Write a Python function that tests a web application's login functionality by submitting a form with an incorrect password and verifying that an error message is displayed. The function should also test the case where the email address does not exist. Use the `testapp` fixture to interact with the web application.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","259
703
703
259
703
703
","259
703
259
703
","259
703
259
703
"
90,"Write a Python function that attempts to guess a password for a given RAR file using a brute force approach. The function should use the itertools library to generate all possible combinations of characters from a given alphabet, and the subprocess library to execute the 'unrar' command with the generated password. The function should print the found password, the number of tried combinations, and the time taken to find the password. The function should also exit the program after finding the password.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
312
359
532","
","78
78
78
312
359
532"
91,"Write a Python function that takes a URL, width, height, and optional file extension as input, and returns the local path of a new rendered image thumbnail based on the original URL, while ensuring that the thumbnail is unique by incorporating a hash of the original path in the file name. The function should use the `os` and `hashlib` modules.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","327
","400
327
","327
"
92,"Write a Python function that tests the functionality of a Python library by calling various methods and asserting the results match expected values. The function should take a LibraryMock object and a method name as inputs, create a PythonHandler object using the LibraryMock and method, and then call the method and assert the results match the expected values. The function should also test the argument limits of the method by asserting the min and max number of arguments passed to the method match the expected values.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","703
703
703
","703
703
703
","703
703
703
"
93,"Write a Python function that tests a web application's login functionality by submitting a form with an incorrect password and verifying that an error message is displayed. The function should also test for the case where the username does not exist. Use the Selenium webdriver to interact with the page.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","703
703
","703
703
"
94,"Write a Python function that tests a HTTPHandler class by creating an RSA private key, writing it to a file, and then using the HTTPHandler to read the file and verify that the contents match the expected value.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","327
","703
"
95,"Write a Python function that takes a string representing a Python function and a dictionary of options, executes the function, and returns the result. The function should be able to handle nested function calls and named tuples.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
","78
","
"
96,"Write me a Python function that accepts a database cursor object and returns a list of tables in the database using a SHOW TABLES query, and also converts the query results into named tuples.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
97,"Write a Python function that checks if a given environment variable is set to either 'True' or 'False', and returns its value as a boolean. If the variable is not set or has an unrecognized value, raise a RuntimeError.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","
","
","
"
98,"Write a Python function that sends a POST request to a URL, parses the JSON response, asserts the response contains a specific message, sends a DELETE request to the same URL with a different parameter, parses the JSON response again, and asserts the response contains a different message. The function should use standard library functions for HTTP requests and JSON parsing.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","22
703
22
703
","703
703
","22
703
22
703
"
99,"Write a program that encrypts a given zip file using a provided encryption key, and then creates a new zip file containing the encrypted file and a secondary encryption key. The program should use a subprocess to call an external encryptor program, and should also create a new directory to store the encrypted files. Finally, the program should remove the original zip file and copy the encrypted files to the new directory.

    Only return the code, don't include any other information,
    such as a preamble or suffix.
","78
78
78
","78
78
78
","78
78
78
"
